Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ef_government,ef_gender,ef_legal,ef_money,ef_trade,ef_regulation
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,4.709639685847091,1.0,8.69695846731602,9.20717667682339,7.860975384441226,7.721088292916451
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,5.240191182194949,1.0,8.655693548336613,9.695691088284864,8.420778825411656,8.42500736573876
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,4.719395324342271,1.0,8.569788845518953,9.340273896041388,7.602676904910594,7.654227942982143
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,5.742400762484831,1.0,8.512043742369832,9.560011294239205,7.743891295148386,7.079071701557186
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,4.863906532640304,1.0,8.354370539387656,9.138235206074029,8.604238651325117,7.777743790275706
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,7.522199310786985,1.0,8.735912323158782,9.857416232857243,7.631770581962941,8.096076925461626
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,4.434866130103268,1.0,7.92769690553541,9.620914377912776,8.134868702560773,7.6689186254314
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,4.929120051290271,1.0,8.38881065304966,9.181003701889493,8.094356204482168,7.201705179616472
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,4.885681153115198,1.0,8.240022946692388,9.107727019857736,7.791151608556586,7.694264026377581
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,5.926206809699357,1.0,7.748649179679566,9.602893593359433,7.717691061164506,7.575805872566118
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,6.173971389645777,1.0,7.73596448375452,9.316174072026044,7.959416192853848,8.136412101608549
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,5.639800769354063,1.0,7.75186022246882,9.233719800551937,7.981712764452411,7.655588927023143
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,4.324856146818401,1.0,7.515024895989021,9.230280175133323,8.031709988168066,7.750047240863172
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,6.287202150069838,1.0,7.038041978459024,9.4278493400764,8.0802982503155,7.908532241610149
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,6.402562590158679,0.9411764705882352,6.500781514068966,9.338306770057828,8.395163470766782,7.958298506014258
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,4.91578926338928,1.0,7.1884040751640015,9.154780583488526,8.205518133248193,7.197902619664803
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,6.220119249879788,1.0,7.353980770676608,9.208186941626993,8.087795421773833,7.302663450773423
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,5.304579099214618,1.0,6.514894433893935,9.182699778870369,8.335542792703322,7.6626706589726625
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,5.561338241018478,1.0,6.16671219106945,8.180474271152853,7.665251385726843,7.06965002971869
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,6.603518833146339,1.0,7.237508005838262,9.201341810521509,8.326601283113549,7.718170286664585
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,4.737131728985872,0.9411764705882352,6.567125662546021,9.458062521196508,7.443109752690189,6.80352087081927
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,6.968616685366245,1.0,6.643868011230304,9.354551805867182,8.49163755144627,7.218130593872444
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,6.668797643853182,0.8823529411764706,6.3343137431709735,9.104567877076638,8.22041016562915,7.1177652998619285
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,6.196130572665033,1.0,7.055730665010767,9.19271681001172,8.358124321717922,8.062386140607458
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,6.285161690289195,1.0,7.775531994178214,9.163821544685216,8.32702097141437,8.212535566366931
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,7.690383234492707,0.8823529411764706,5.621751601104201,9.226239907503714,6.515192633798679,7.691375905347254
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,5.859638243308223,1.0,6.349460140627937,9.256406688257952,7.62172182075513,7.127391279902256
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,6.018192498797885,1.0,7.183209503949282,9.232145949110077,8.435828249434092,6.27591061804763
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,6.410932006044925,1.0,5.509863989978886,8.279024405883991,6.726896826696035,7.169766155364325
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,7.531031495431961,1.0,5.679223342260667,8.136712805893287,6.731743478223756,7.1621371799822064
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,6.403476890756303,0.9411764705882352,5.861370849512511,9.725908801839305,7.225387481308705,8.086435458491795
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,5.095149360016486,1.0,6.118132853735711,9.635263260395236,7.868433053386727,7.0914596614494565
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,6.637189029835367,0.8823529411764706,4.268155385826858,8.323335682640803,7.245679617017337,7.110066943883237
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,5.2364368288187215,0.8823529411764706,5.473420045433848,9.163655739262982,7.302753100377965,6.9804770374325065
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,4.851533063906762,1.0,5.981289661684544,9.056068645073246,8.165868966341685,6.014965376384407
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,7.138142891489021,0.9411764705882352,4.642071503698449,8.22385408392602,7.746695594562558,8.05452716447545
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,4.550381391248598,0.8235294117647058,5.243686635511766,7.268721876973309,7.012122161491378,6.959071302136365
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,7.1908739266823885,1.0,5.960526838800446,9.521858392621883,7.9117489156547744,7.885563498926593
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,7.817077301765392,1.0,5.260351197439963,9.78826853976674,8.22249900037133,7.1129579713411
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,7.975291690518171,1.0,6.236215111700542,9.553008775759723,7.692708173158029,7.756332812922277
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,7.293894614521558,1.0,6.834457405217292,9.057738067844532,8.280820351060585,7.43309123929388
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,7.036917489066471,0.8235294117647058,4.918131555424169,6.215113717826315,6.291018549621779,6.069169970552849
